Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-04-12,Rain Man,1988,https://boxd.it/6g6Wjz,4,,,2024-04-12
2024-04-12,Little Miss Sunshine,2006,https://boxd.it/6g6WCr,4.5,,,2024-04-12
2024-04-12,Good Time,2017,https://boxd.it/6g6X8H,4,,,2024-04-12
2024-04-12,Saltburn,2023,https://boxd.it/6g6XUh,3,,,2024-04-12
2024-04-12,The Football Factory,2004,https://boxd.it/6g6YMX,3,,,2024-04-12
2024-04-12,Come and See,1985,https://boxd.it/6g6Zc7,3.5,,,2024-04-12
2024-04-12,Fear and Loathing in Las Vegas,1998,https://boxd.it/6g70kh,2.5,,,2024-04-12
2024-04-12,GoodFellas,1990,https://boxd.it/6g70Z5,4,,,2024-04-12
2024-04-12,La Haine,1995,https://boxd.it/6g71n7,5,,,2024-04-12
2024-04-12,Prisoners,2013,https://boxd.it/6g71Td,4,,,2024-04-12
2024-04-12,There Will Be Blood,2007,https://boxd.it/6g725t,4.5,,,2024-04-12
2024-04-12,The Revenant,2015,https://boxd.it/6g72eP,4.5,,,2024-04-12
2024-04-12,Battle Royale,2000,https://boxd.it/6g72rz,4,,,2024-04-12
2024-04-12,Blade Runner 2049,2017,https://boxd.it/6g72Ib,4,,,2024-04-12
2024-04-12,Stand by Me,1986,https://boxd.it/6g72Ur,4,,,2024-04-12
2024-04-12,Snatch,2000,https://boxd.it/6g73kz,4,,,2024-04-12
2024-04-12,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/6g73wF,4,,,2024-04-12
2024-04-12,No Country for Old Men,2007,https://boxd.it/6g73HD,3,,,2024-04-12
2024-04-12,Parasite,2019,https://boxd.it/6g74cV,4,,,2024-04-12
2024-04-12,Fantastic Mr. Fox,2009,https://boxd.it/6g74oH,4.5,,,2024-04-12
2024-04-12,Dead Poets Society,1989,https://boxd.it/6g74wV,5,,,2024-04-12
2024-04-12,Howl's Moving Castle,2004,https://boxd.it/6g74FD,4,,,2024-04-12
2024-04-12,Catch Me If You Can,2002,https://boxd.it/6g74TF,4.5,,,2024-04-12
2024-04-12,The Truman Show,1998,https://boxd.it/6g754X,3.5,,,2024-04-12
2024-04-12,Taxi Driver,1976,https://boxd.it/6g75dF,4.5,,,2024-04-12
2024-04-12,(500) Days of Summer,2009,https://boxd.it/6g75rH,4.5,,,2024-04-12
2024-04-12,Good Will Hunting,1997,https://boxd.it/6g75Bn,4.5,,,2024-04-12
2024-04-12,City of God,2002,https://boxd.it/6g75T7,4.5,,,2024-04-12
2024-04-12,Uncut Gems,2019,https://boxd.it/6g77j1,4,,,2024-04-12
2024-04-12,Columbus,2017,https://boxd.it/6g77UL,3.5,,,2024-04-12
2024-04-12,All Quiet on the Western Front,2022,https://boxd.it/6g7afL,3.5,,,2024-04-12
2024-04-12,Ocean's Eleven,2001,https://boxd.it/6g7auL,4,,,2024-04-12
2024-04-12,Now You See Me,2013,https://boxd.it/6g7aEh,1.5,,,2024-04-12
2024-04-12,Thor: Love and Thunder,2022,https://boxd.it/6g7aTL,1,,,2024-04-12
2024-04-12,Oppenheimer,2023,https://boxd.it/6g7b8h,4.5,,,2024-04-12
2024-04-12,Forrest Gump,1994,https://boxd.it/6g7cUr,4,,,2024-04-12
2024-04-12,Whiplash,2014,https://boxd.it/6g7d63,4.5,,,2024-04-12
2024-04-12,Gladiator,2000,https://boxd.it/6g7dn9,3,,,2024-04-12
2024-04-12,Back to the Future,1985,https://boxd.it/6g7dZR,3.5,,,2024-04-12
2024-04-12,Grave of the Fireflies,1988,https://boxd.it/6g7j3J,4,,,2024-04-12
2024-04-12,Braveheart,1995,https://boxd.it/6g7jnz,4,,,2024-04-12
2024-04-12,The Girl with the Dragon Tattoo,2011,https://boxd.it/6g7omB,2,,,2024-04-12
2024-04-12,Drive,2011,https://boxd.it/6g8wmh,5,,,2024-04-12
2024-09-14,Angel Has Fallen,2019,https://boxd.it/7k3I3l,2,,,2024-08-23
2024-09-14,Bad Times at the El Royale,2018,https://boxd.it/7k3Inl,3,,,2024-08-24
2024-09-14,Beautiful Boy,2018,https://boxd.it/7k3HcL,4,,,2024-09-06
2024-09-14,The Holdovers,2023,https://boxd.it/7k3Hyd,4.5,,,2024-09-07
2024-09-14,Kneecap,2024,https://boxd.it/7k3Gk5,4,,,2024-09-14
2024-09-15,Swiss Army Man,2016,https://boxd.it/7kistn,3,,,2024-09-14
2024-09-16,Lars and the Real Girl,2007,https://boxd.it/7kOhZL,4,,,2024-09-15
2024-10-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/7AHvNz,4,Yes,,2024-10-19
2024-11-02,Happy Gilmore,1996,https://boxd.it/7HwlU7,3,,,2024-11-01
2024-11-09,Challengers,2024,https://boxd.it/7Lfr5V,4,,,2024-11-09
2024-11-10,Once Upon a Time... in Hollywood,2019,https://boxd.it/7LMiIl,4,Yes,,2024-11-09
2024-11-20,Isle of Dogs,2018,https://boxd.it/7QU1xL,4.5,,,2024-11-20
2024-11-24,Anomalisa,2015,https://boxd.it/7STlq7,2,,,2024-11-24
2024-11-24,Speed,1994,https://boxd.it/7STwyr,3.5,,,2024-11-24
2024-11-28,The Perks of Being a Wallflower,2012,https://boxd.it/7UMVTN,4,,,2024-11-27
2024-12-27,The Snapper,1993,https://boxd.it/8aQXuR,4,,,2024-12-26
2024-12-28,King Richard,2021,https://boxd.it/8c2Tsv,3.5,,,2024-12-27
2024-12-28,Casino Royale,2006,https://boxd.it/8c94rl,4.5,Yes,,2024-12-28
2024-12-28,Skyfall,2012,https://boxd.it/8c95Hz,4,Yes,,2024-12-28
2024-12-30,No Time to Die,2021,https://boxd.it/8dX9T9,4,Yes,,2024-12-30
2024-12-31,Knives Out,2019,https://boxd.it/8eZpgF,4,,,2024-12-31
2025-01-01,The Mauritanian,2021,https://boxd.it/8fLvHt,3,,,2025-01-01
2025-01-08,Train to Busan,2016,https://boxd.it/8mUB8b,4.5,,,2025-01-08
2025-01-12,Shooter,2007,https://boxd.it/8r1wur,2.5,,,2025-01-11
2025-01-14,Kingsman: The Secret Service,2014,https://boxd.it/8sV0c7,4,,,2025-01-13
2025-01-17,The Matrix,1999,https://boxd.it/8uRzNd,3,,,2025-01-16
2025-02-14,Look Back,2024,https://boxd.it/8Pd7Kf,4.5,,,2025-02-13
2025-02-15,Everybody Rides the Carousel,1976,https://boxd.it/8PUjcl,2.5,,,2025-02-15
2025-03-10,Mickey 17,2025,https://boxd.it/94Dpnb,3.5,,,2025-03-09
2025-03-23,Scrapper,2023,https://boxd.it/9cGk1R,4,,,2025-03-23
2025-04-12,Bring Them Down,2024,https://boxd.it/9nNcwF,4,,,2025-04-11
2025-04-19,Black Mirror: Common People,2025,https://boxd.it/9rAxQr,,,,2025-04-18
2025-04-26,Rounders,1998,https://boxd.it/9vZtyT,4,,,2025-04-25
2025-06-08,War Dogs,2016,https://boxd.it/9VVFYb,4,,,2025-06-08
2025-07-06,Flow,2024,https://boxd.it/ae8EJd,4,,,2025-07-05
2025-07-06,A Complete Unknown,2024,https://boxd.it/aemlAJ,4,,,2025-07-05
2025-07-08,10 Things I Hate About You,1999,https://boxd.it/afAbMx,4,,,2025-07-07
2025-07-11,The Hunger Games: Catching Fire,2013,https://boxd.it/ahTKGb,4.5,,,2025-07-11
2025-07-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/av6A3V,4.5,,,2025-07-27
2025-07-28,Get Out,2017,https://boxd.it/av6AHV,5,,,2025-07-27
2025-07-28,Conclave,2024,https://boxd.it/av6BzD,4,,,2025-07-27
2025-08-02,The Fox and the Hound,1981,https://boxd.it/aztJ4P,5,,,2025-08-02
2025-08-03,Tinker Tailor Soldier Spy,2011,https://boxd.it/aAafYz,4,,,2025-08-02
2025-08-04,The Terminal,2004,https://boxd.it/aBhCHf,4.5,,,2025-08-04
2025-08-06,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/aCOC6j,4,,,2025-08-06
2025-08-20,Reservoir Dogs,1992,https://boxd.it/aNm8m5,4,,,2025-08-20
2025-08-27,The Place Beyond the Pines,2012,https://boxd.it/aSnaTd,4.5,,,2025-08-27
2025-10-08,MIKI,2024,https://boxd.it/bitNMh,4,,,2025-10-07
2025-10-08,ČERNÁK,2025,https://boxd.it/bitOdR,3.5,,,2025-10-07
2025-10-08,The Town,2010,https://boxd.it/bitOGf,3.5,,,2025-10-07
2025-10-09,Snatch,2000,https://boxd.it/bj7I11,5,Yes,,2025-10-08
2025-10-11,Steve,2025,https://boxd.it/bkfdxZ,3.5,,,2025-10-10
2025-10-13,Ford v Ferrari,2019,https://boxd.it/blrDyH,4,,,2025-10-12
2025-11-12,War of the Worlds,2005,https://boxd.it/bGxayz,2.5,,,2025-11-11
2025-11-23,The Pursuit of Happyness,2006,https://boxd.it/bNUW55,5,,,2025-11-22
2025-12-28,Elvis,2022,https://boxd.it/cgRURB,4,,,2025-12-27
2026-01-04,The Sweeney,2012,https://boxd.it/cqovYp,1.5,,,2026-01-03
2026-01-04,Peppermint,2018,https://boxd.it/cqoRk7,1,,,2026-01-03
2026-01-05,Operation Mincemeat,2021,https://boxd.it/cs98Zn,2.5,,,2026-01-04
2026-01-09,Marty Supreme,2025,https://boxd.it/cwpsWh,4.5,,,2026-01-08
